Code,County,State,Labor_count,Employed,Unemployed,unemployment_rate
CN0100100000000,Autauga , AL,"26,341     ","25,599     ",742     ,2.8     
CN0100300000000,Baldwin , AL,"99,427     ","96,481     ","2,946     ",3.0     
CN0100500000000,Barbour , AL,"8,197     ","7,728     ",469     ,5.7     
CN0100700000000,Bibb , AL,"8,560     ","8,262     ",298     ,3.5     
CN0100900000000,Blount , AL,"25,127     ","24,529     ",598     ,2.4     
CN0101100000000,Bullock , AL,"4,606     ","4,422     ",184     ,4.0     
CN0101300000000,Butler , AL,"8,796     ","8,328     ",468     ,5.3     
CN0101500000000,Calhoun , AL,"46,118     ","44,212     ","1,906     ",4.1     
CN0101700000000,Chambers , AL,"15,752     ","15,173     ",579     ,3.7     
CN0101900000000,Cherokee , AL,"11,808     ","11,512     ",296     ,2.5     
CN0102100000000,Chilton , AL,"19,811     ","19,246     ",565     ,2.9     
CN0102300000000,Choctaw , AL,"4,591     ","4,391     ",200     ,4.4     
CN0102500000000,Clarke , AL,"7,726     ","7,264     ",462     ,6.0     
CN0102700000000,Clay , AL,"6,095     ","5,930     ",165     ,2.7     
CN0102900000000,Cleburne , AL,"5,890     ","5,739     ",151     ,2.6     
CN0103100000000,Coffee , AL,"21,853     ","21,243     ",610     ,2.8     
CN0103300000000,Colbert , AL,"23,460     ","22,524     ",936     ,4.0     
CN0103500000000,Conecuh , AL,"4,376     ","4,164     ",212     ,4.8     
CN0103700000000,Coosa , AL,"4,343     ","4,209     ",134     ,3.1     
CN0103900000000,Covington , AL,"15,215     ","14,756     ",459     ,3.0     
CN0104100000000,Crenshaw , AL,"6,133     ","5,931     ",202     ,3.3     
CN0104300000000,Cullman , AL,"38,858     ","37,943     ",915     ,2.4     
CN0104500000000,Dale , AL,"20,915     ","20,257     ",658     ,3.1     
CN0104700000000,Dallas , AL,"13,959     ","12,924     ","1,035     ",7.4     
CN0104900000000,DeKalb , AL,"31,097     ","30,308     ",789     ,2.5     
CN0105100000000,Elmore , AL,"37,582     ","36,560     ","1,022     ",2.7     
CN0105300000000,Escambia , AL,"14,000     ","13,425     ",575     ,4.1     
CN0105500000000,Etowah , AL,"39,262     ","37,658     ","1,604     ",4.1     
CN0105700000000,Fayette , AL,"6,653     ","6,449     ",204     ,3.1     
CN0105900000000,Franklin , AL,"14,304     ","13,941     ",363     ,2.5     
CN0106100000000,Geneva , AL,"10,993     ","10,684     ",309     ,2.8     
CN0106300000000,Greene , AL,"2,897     ","2,698     ",199     ,6.9     
CN0106500000000,Hale , AL,"5,888     ","5,553     ",335     ,5.7     
CN0106700000000,Henry , AL,"6,881     ","6,662     ",219     ,3.2     
CN0106900000000,Houston , AL,"46,880     ","45,286     ","1,594     ",3.4     
CN0107100000000,Jackson , AL,"22,975     ","22,316     ",659     ,2.9     
CN0107300000000,Jefferson , AL,"317,359     ","305,782     ","11,577     ",3.6     
CN0107500000000,Lamar , AL,"5,691     ","5,521     ",170     ,3.0     
CN0107700000000,Lauderdale , AL,"42,080     ","40,745     ","1,335     ",3.2     
CN0107900000000,Lawrence , AL,"14,378     ","13,956     ",422     ,2.9     
CN0108100000000,Lee , AL,"76,658     ","74,478     ","2,180     ",2.8     
CN0108300000000,Limestone , AL,"46,572     ","45,430     ","1,142     ",2.5     
CN0108500000000,Lowndes , AL,"3,578     ","3,248     ",330     ,9.2     
CN0108700000000,Macon , AL,"7,948     ","7,471     ",477     ,6.0     
CN0108900000000,Madison , AL,"192,204     ","187,100     ","5,104     ",2.7     
CN0109100000000,Marengo , AL,"7,709     ","7,384     ",325     ,4.2     
CN0109300000000,Marion , AL,"13,320     ","12,941     ",379     ,2.8     
CN0109500000000,Marshall , AL,"44,714     ","43,644     ","1,070     ",2.4     
CN0109700000000,Mobile , AL,"191,711     ","182,672     ","9,039     ",4.7     
CN0109900000000,Monroe , AL,"7,356     ","6,942     ",414     ,5.6     
CN0110100000000,Montgomery , AL,"106,663     ","101,486     ","5,177     ",4.9     
CN0110300000000,Morgan , AL,"59,256     ","57,716     ","1,540     ",2.6     
CN0110500000000,Perry , AL,"3,215     ","2,948     ",267     ,8.3     
CN0110700000000,Pickens , AL,"7,501     ","7,194     ",307     ,4.1     
CN0110900000000,Pike , AL,"16,017     ","15,504     ",513     ,3.2     
CN0111100000000,Randolph , AL,"9,408     ","9,150     ",258     ,2.7     
CN0111300000000,Russell , AL,"23,281     ","22,566     ",715     ,3.1     
CN0111500000000,St. Clair , AL,"41,195     ","40,108     ","1,087     ",2.6     
CN0111700000000,Shelby , AL,"118,212     ","115,683     ","2,529     ",2.1     
CN0111900000000,Sumter , AL,"4,520     ","4,317     ",203     ,4.5     
CN0112100000000,Talladega , AL,"35,695     ","34,215     ","1,480     ",4.1     
CN0112300000000,Tallapoosa , AL,"17,910     ","17,186     ",724     ,4.0     
CN0112500000000,Tuscaloosa , AL,"101,104     ","97,442     ","3,662     ",3.6     
CN0112700000000,Walker , AL,"25,085     ","24,174     ",911     ,3.6     
CN0112900000000,Washington , AL,"6,538     ","6,233     ",305     ,4.7     
CN0113100000000,Wilcox , AL,"2,644     ","2,353     ",291     ,11.0     
CN0113300000000,Winston , AL,"10,110     ","9,830     ",280     ,2.8     
CN0201300000000,Aleutians East Borough, AK,"2,558     ","2,499     ",59     ,2.3     
CN0201600000000,Aleutians West Census Area, AK,"3,625     ","3,494     ",131     ,3.6     
CN0202000000000,Anchorage Borough/municipality, AK,"150,276     ","141,539     ","8,737     ",5.8     
CN0205000000000,Bethel Census Area, AK,"6,956     ","6,046     ",910     ,13.1     
CN0206000000000,Bristol Bay Borough, AK,449     ,424     ,25     ,5.6     
CN0206300000000,Chugach Census Area, AK,"3,412     ","3,182     ",230     ,6.7     
CN0206600000000,Copper River Census Area, AK,"1,356     ","1,235     ",121     ,8.9     
CN0206800000000,Denali Borough, AK,855     ,769     ,86     ,10.1     
CN0207000000000,Dillingham Census Area, AK,"1,709     ","1,569     ",140     ,8.2     
CN0209000000000,Fairbanks North Star Borough, AK,"45,375     ","43,099     ","2,276     ",5.0     
CN0210000000000,Haines Borough, AK,"1,024     ",908     ,116     ,11.3     
CN0210500000000,Hoonah-Angoon Census Area, AK,"1,156     ","1,049     ",107     ,9.3     
CN0211000000000,Juneau Borough/city, AK,"16,734     ","15,940     ",794     ,4.7     
CN0212200000000,Kenai Peninsula Borough, AK,"27,945     ","25,911     ","2,034     ",7.3     
CN0213000000000,Ketchikan Gateway Borough, AK,"6,604     ","6,118     ",486     ,7.4     
CN0215000000000,Kodiak Island Borough, AK,"6,015     ","5,629     ",386     ,6.4     
CN0215800000000,Kusilvak Census Area, AK,"2,347     ","1,880     ",467     ,19.9     
CN0216400000000,Lake and Peninsula Borough, AK,649     ,591     ,58     ,8.9     
CN0217000000000,Matanuska-Susitna Borough, AK,"49,487     ","46,130     ","3,357     ",6.8     
CN0218000000000,Nome Census Area, AK,"4,088     ","3,693     ",395     ,9.7     
CN0218500000000,North Slope Borough, AK,"2,918     ","2,733     ",185     ,6.3     
CN0218800000000,Northwest Arctic Borough, AK,"2,914     ","2,578     ",336     ,11.5     
CN0219500000000,Petersburg Borough, AK,"1,621     ","1,508     ",113     ,7.0     
CN0219800000000,Prince of Wales-Hyder Census Area, AK,"2,832     ","2,605     ",227     ,8.0     
CN0222000000000,Sitka Borough/city, AK,"4,496     ","4,295     ",201     ,4.5     
CN0223000000000,Skagway Municipality, AK,621     ,533     ,88     ,14.2     
CN0224000000000,Southeast Fairbanks Census Area, AK,"3,219     ","3,007     ",212     ,6.6     
CN0227500000000,Wrangell Borough/city, AK,946     ,875     ,71     ,7.5     
CN0228200000000,Yakutat Borough/city, AK,308     ,286     ,22     ,7.1     
CN0229000000000,Yukon-Koyukuk Census Area, AK,"2,441     ","2,138     ",303     ,12.4     
CN0400100000000,Apache , AZ,"18,700     ","16,995     ","1,705     ",9.1     
CN0400300000000,Cochise , AZ,"49,027     ","46,667     ","2,360     ",4.8     
CN0400500000000,Coconino , AZ,"72,223     ","67,857     ","4,366     ",6.0     
CN0400700000000,Gila , AZ,"20,390     ","19,377     ","1,013     ",5.0     
CN0400900000000,Graham , AZ,"15,695     ","15,047     ",648     ,4.1     
CN0401100000000,Greenlee , AZ,"4,343     ","4,169     ",174     ,4.0     
CN0401200000000,La Paz , AZ,"8,616     ","8,175     ",441     ,5.1     
CN0401300000000,Maricopa , AZ,"2,311,889     ","2,208,858     ","103,031     ",4.5     
CN0401500000000,Mohave , AZ,"87,215     ","82,382     ","4,833     ",5.5     
CN0401700000000,Navajo , AZ,"39,276     ","36,704     ","2,572     ",6.5     
CN0401900000000,Pima , AZ,"480,903     ","457,095     ","23,808     ",5.0     
CN0402100000000,Pinal , AZ,"192,406     ","183,334     ","9,072     ",4.7     
CN0402300000000,Santa Cruz , AZ,"18,942     ","17,298     ","1,644     ",8.7     
CN0402500000000,Yavapai , AZ,"105,108     ","100,771     ","4,337     ",4.1     
CN0402700000000,Yuma , AZ,"93,693     ","81,591     ","12,102     ",12.9     
CN0500100000000,Arkansas , AR,"9,424     ","9,108     ",316     ,3.4     
CN0500300000000,Ashley , AR,"6,801     ","6,301     ",500     ,7.4     
CN0500500000000,Baxter , AR,"16,287     ","15,681     ",606     ,3.7     
CN0500700000000,Benton , AR,"141,991     ","137,993     ","3,998     ",2.8     
CN0500900000000,Boone , AR,"15,782     ","15,313     ",469     ,3.0     
CN0501100000000,Bradley , AR,"4,056     ","3,865     ",191     ,4.7     
CN0501300000000,Calhoun , AR,"2,392     ","2,312     ",80     ,3.3     
CN0501500000000,Carroll , AR,"12,708     ","12,279     ",429     ,3.4     
CN0501700000000,Chicot , AR,"3,084     ","2,820     ",264     ,8.6     
CN0501900000000,Clark , AR,"8,805     ","8,390     ",415     ,4.7     
CN0502100000000,Clay , AR,"5,391     ","5,178     ",213     ,4.0     
CN0502300000000,Cleburne , AR,"8,970     ","8,559     ",411     ,4.6     
CN0502500000000,Cleveland , AR,"3,108     ","2,985     ",123     ,4.0     
CN0502700000000,Columbia , AR,"8,814     ","8,345     ",469     ,5.3     
CN0502900000000,Conway , AR,"8,231     ","7,889     ",342     ,4.2     
CN0503100000000,Craighead , AR,"55,682     ","53,861     ","1,821     ",3.3     
CN0503300000000,Crawford , AR,"25,772     ","24,851     ",921     ,3.6     
CN0503500000000,Crittenden , AR,"20,502     ","19,394     ","1,108     ",5.4     
CN0503700000000,Cross , AR,"6,987     ","6,681     ",306     ,4.4     
CN0503900000000,Dallas , AR,"2,770     ","2,657     ",113     ,4.1     
CN0504100000000,Desha , AR,"4,963     ","4,670     ",293     ,5.9     
CN0504300000000,Drew , AR,"7,522     ","7,145     ",377     ,5.0     
CN0504500000000,Faulkner , AR,"61,033     ","58,910     ","2,123     ",3.5     
CN0504700000000,Franklin , AR,"7,267     ","6,999     ",268     ,3.7     
CN0504900000000,Fulton , AR,"4,889     ","4,711     ",178     ,3.6     
CN0505100000000,Garland , AR,"40,528     ","38,500     ","2,028     ",5.0     
CN0505300000000,Grant , AR,"8,146     ","7,886     ",260     ,3.2     
CN0505500000000,Greene , AR,"19,318     ","18,655     ",663     ,3.4     
CN0505700000000,Hempstead , AR,"9,182     ","8,862     ",320     ,3.5     
CN0505900000000,Hot Spring , AR,"13,797     ","13,264     ",533     ,3.9     
CN0506100000000,Howard , AR,"5,455     ","5,278     ",177     ,3.2     
CN0506300000000,Independence , AR,"16,368     ","15,734     ",634     ,3.9     
CN0506500000000,Izard , AR,"4,382     ","4,146     ",236     ,5.4     
CN0506700000000,Jackson , AR,"5,637     ","5,343     ",294     ,5.2     
CN0506900000000,Jefferson , AR,"26,128     ","24,413     ","1,715     ",6.6     
CN0507100000000,Johnson , AR,"9,835     ","9,373     ",462     ,4.7     
CN0507300000000,Lafayette , AR,"2,327     ","2,192     ",135     ,5.8     
CN0507500000000,Lawrence , AR,"6,700     ","6,414     ",286     ,4.3     
CN0507700000000,Lee , AR,"2,554     ","2,411     ",143     ,5.6     
CN0507900000000,Lincoln , AR,"3,729     ","3,558     ",171     ,4.6     
CN0508100000000,Little River , AR,"5,250     ","5,015     ",235     ,4.5     
CN0508300000000,Logan , AR,"8,383     ","8,033     ",350     ,4.2     
CN0508500000000,Lonoke , AR,"33,141     ","32,034     ","1,107     ",3.3     
CN0508700000000,Madison , AR,"7,373     ","7,142     ",231     ,3.1     
CN0508900000000,Marion , AR,"6,089     ","5,829     ",260     ,4.3     
CN0509100000000,Miller , AR,"18,987     ","18,074     ",913     ,4.8     
CN0509300000000,Mississippi , AR,"16,310     ","15,141     ","1,169     ",7.2     
CN0509500000000,Monroe , AR,"2,621     ","2,482     ",139     ,5.3     
CN0509700000000,Montgomery , AR,"2,876     ","2,737     ",139     ,4.8     
CN0509900000000,Nevada , AR,"3,373     ","3,237     ",136     ,4.0     
CN0510100000000,Newton , AR,"3,182     ","3,085     ",97     ,3.0     
CN0510300000000,Ouachita , AR,"9,716     ","9,340     ",376     ,3.9     
CN0510500000000,Perry , AR,"4,092     ","3,924     ",168     ,4.1     
CN0510700000000,Phillips , AR,"5,865     ","5,412     ",453     ,7.7     
CN0510900000000,Pike , AR,"4,183     ","3,999     ",184     ,4.4     
CN0511100000000,Poinsett , AR,"9,676     ","9,299     ",377     ,3.9     
CN0511300000000,Polk , AR,"7,771     ","7,428     ",343     ,4.4     
CN0511500000000,Pope , AR,"27,266     ","26,186     ","1,080     ",4.0     
CN0511700000000,Prairie , AR,"3,527     ","3,397     ",130     ,3.7     
CN0511900000000,Pulaski , AR,"184,896     ","175,806     ","9,090     ",4.9     
CN0512100000000,Randolph , AR,"7,313     ","7,025     ",288     ,3.9     
CN0512300000000,St. Francis , AR,"7,675     ","7,201     ",474     ,6.2     
CN0512500000000,Saline , AR,"57,900     ","56,082     ","1,818     ",3.1     
CN0512700000000,Scott , AR,"4,216     ","4,076     ",140     ,3.3     
CN0512900000000,Searcy , AR,"2,920     ","2,796     ",124     ,4.2     
CN0513100000000,Sebastian , AR,"54,294     ","52,275     ","2,019     ",3.7     
CN0513300000000,Sevier , AR,"5,368     ","5,132     ",236     ,4.4     
CN0513500000000,Sharp , AR,"5,630     ","5,353     ",277     ,4.9     
CN0513700000000,Stone , AR,"4,531     ","4,303     ",228     ,5.0     
CN0513900000000,Union , AR,"15,025     ","14,114     ",911     ,6.1     
CN0514100000000,Van Buren , AR,"5,803     ","5,521     ",282     ,4.9     
CN0514300000000,Washington , AR,"125,728     ","122,052     ","3,676     ",2.9     
CN0514500000000,White , AR,"33,712     ","32,361     ","1,351     ",4.0     
CN0514700000000,Woodruff , AR,"2,790     ","2,651     ",139     ,5.0     
CN0514900000000,Yell , AR,"7,831     ","7,520     ",311     ,4.0     
CN0600100000000,Alameda , CA,"809,964     ","760,859     ","49,105     ",6.1     
CN0600300000000,Alpine , CA,519     ,477     ,42     ,8.1     
CN0600500000000,Amador , CA,"14,342     ","13,345     ",997     ,7.0     
CN0600700000000,Butte , CA,"92,031     ","85,720     ","6,311     ",6.9     
CN0600900000000,Calaveras , CA,"21,402     ","20,177     ","1,225     ",5.7     
CN0601100000000,Colusa , CA,"10,740     ","9,398     ","1,342     ",12.5     
CN0601300000000,Contra Costa , CA,"542,352     ","507,874     ","34,478     ",6.4     
CN0601500000000,Del Norte , CA,"9,314     ","8,606     ",708     ,7.6     
CN0601700000000,El Dorado , CA,"91,142     ","85,910     ","5,232     ",5.7     
CN0601900000000,Fresno , CA,"443,383     ","402,642     ","40,741     ",9.2     
CN0602100000000,Glenn , CA,"12,616     ","11,740     ",876     ,6.9     
CN0602300000000,Humboldt , CA,"58,714     ","55,053     ","3,661     ",6.2     
CN0602500000000,Imperial , CA,"69,075     ","57,094     ","11,981     ",17.3     
CN0602700000000,Inyo , CA,"8,229     ","7,745     ",484     ,5.9     
CN0602900000000,Kern , CA,"383,987     ","345,432     ","38,555     ",10.0     
CN0603100000000,Kings , CA,"55,930     ","50,544     ","5,386     ",9.6     
CN0603300000000,Lake , CA,"28,371     ","26,211     ","2,160     ",7.6     
CN0603500000000,Lassen , CA,"9,159     ","8,615     ",544     ,5.9     
CN0603700000000,Los Angeles , CA,"4,994,057     ","4,548,852     ","445,205     ",8.9     
CN0603900000000,Madera , CA,"61,944     ","56,468     ","5,476     ",8.8     
CN0604100000000,Marin , CA,"128,920     ","123,172     ","5,748     ",4.5     
CN0604300000000,Mariposa , CA,"7,014     ","6,456     ",558     ,8.0     
CN0604500000000,Mendocino , CA,"36,920     ","34,622     ","2,298     ",6.2     
CN0604700000000,Merced , CA,"115,158     ","103,223     ","11,935     ",10.4     
CN0604900000000,Modoc , CA,"3,187     ","2,962     ",225     ,7.1     
CN0605100000000,Mono , CA,"8,340     ","7,771     ",569     ,6.8     
CN0605300000000,Monterey , CA,"211,858     ","194,310     ","17,548     ",8.3     
CN0605500000000,Napa , CA,"68,437     ","64,305     ","4,132     ",6.0     
CN0605700000000,Nevada , CA,"47,089     ","44,459     ","2,630     ",5.6     
CN0605900000000,Orange , CA,"1,553,897     ","1,461,154     ","92,743     ",6.0     
CN0606100000000,Placer , CA,"188,045     ","178,657     ","9,388     ",5.0     
CN0606300000000,Plumas , CA,"7,382     ","6,682     ",700     ,9.5     
CN0606500000000,Riverside , CA,"1,129,562     ","1,046,723     ","82,839     ",7.3     
CN0606700000000,Sacramento , CA,"714,032     ","664,353     ","49,679     ",7.0     
CN0606900000000,San Benito , CA,"31,976     ","29,658     ","2,318     ",7.2     
CN0607100000000,San Bernardino , CA,"988,604     ","915,089     ","73,515     ",7.4     
CN0607300000000,San Diego , CA,"1,543,678     ","1,443,815     ","99,863     ",6.5     
CN0607500000000,San Francisco /city, CA,"545,953     ","518,434     ","27,519     ",5.0     
CN0607700000000,San Joaquin , CA,"334,250     ","305,278     ","28,972     ",8.7     
CN0607900000000,San Luis Obispo , CA,"135,268     ","128,186     ","7,082     ",5.2     
CN0608100000000,San Mateo , CA,"431,205     ","411,484     ","19,721     ",4.6     
CN0608300000000,Santa Barbara , CA,"217,988     ","205,423     ","12,565     ",5.8     
CN0608500000000,Santa Clara , CA,"1,013,614     ","966,009     ","47,605     ",4.7     
CN0608700000000,Santa Cruz , CA,"133,351     ","124,166     ","9,185     ",6.9     
CN0608900000000,Shasta , CA,"72,809     ","67,834     ","4,975     ",6.8     
CN0609100000000,Sierra , CA,"1,304     ","1,226     ",78     ,6.0     
CN0609300000000,Siskiyou , CA,"16,561     ","15,222     ","1,339     ",8.1     
CN0609500000000,Solano , CA,"199,365     ","184,505     ","14,860     ",7.5     
CN0609700000000,Sonoma , CA,"242,752     ","229,439     ","13,313     ",5.5     
CN0609900000000,Stanislaus , CA,"239,538     ","219,496     ","20,042     ",8.4     
CN0610100000000,Sutter , CA,"45,214     ","41,145     ","4,069     ",9.0     
CN0610300000000,Tehama , CA,"25,443     ","23,617     ","1,826     ",7.2     
CN0610500000000,Trinity , CA,"4,475     ","4,193     ",282     ,6.3     
CN0610700000000,Tulare , CA,"200,896     ","179,461     ","21,435     ",10.7     
CN0610900000000,Tuolumne , CA,"20,042     ","18,586     ","1,456     ",7.3     
CN0611100000000,Ventura , CA,"404,923     ","379,995     ","24,928     ",6.2     
CN0611300000000,Yolo , CA,"106,122     ","99,926     ","6,196     ",5.8     
CN0611500000000,Yuba , CA,"30,752     ","28,148     ","2,604     ",8.5     
CN0800100000000,Adams , CO,"276,299     ","259,081     ","17,218     ",6.2     
CN0800300000000,Alamosa , CO,"8,533     ","8,062     ",471     ,5.5     
CN0800500000000,Arapahoe , CO,"367,171     ","345,949     ","21,222     ",5.8     
CN0800700000000,Archuleta , CO,"7,300     ","6,943     ",357     ,4.9     
CN0800900000000,Baca , CO,"2,118     ","2,073     ",45     ,2.1     
CN0801100000000,Bent , CO,"1,886     ","1,771     ",115     ,6.1     
CN0801300000000,Boulder , CO,"195,616     ","187,094     ","8,522     ",4.4     
CN0801400000000,Broomfield /city, CO,"41,167     ","39,319     ","1,848     ",4.5     
CN0801500000000,Chaffee , CO,"10,248     ","9,835     ",413     ,4.0     
CN0801700000000,Cheyenne , CO,"1,105     ","1,080     ",25     ,2.3     
CN0801900000000,Clear Creek , CO,"6,023     ","5,689     ",334     ,5.5     
CN0802100000000,Conejos , CO,"4,102     ","3,906     ",196     ,4.8     
CN0802300000000,Costilla , CO,"1,885     ","1,771     ",114     ,6.0     
CN0802500000000,Crowley , CO,"1,465     ","1,389     ",76     ,5.2     
CN0802700000000,Custer , CO,"2,325     ","2,232     ",93     ,4.0     
CN0802900000000,Delta , CO,"14,360     ","13,599     ",761     ,5.3     
CN0803100000000,Denver /city, CO,"427,421     ","402,123     ","25,298     ",5.9     
CN0803300000000,Dolores , CO,"1,176     ","1,121     ",55     ,4.7     
CN0803500000000,Douglas , CO,"200,746     ","192,563     ","8,183     ",4.1     
CN0803700000000,Eagle , CO,"36,813     ","35,177     ","1,636     ",4.4     
CN0803900000000,Elbert , CO,"15,468     ","14,881     ",587     ,3.8     
CN0804100000000,El Paso , CO,"350,677     ","330,916     ","19,761     ",5.6     
CN0804300000000,Fremont , CO,"15,860     ","14,764     ","1,096     ",6.9     
CN0804500000000,Garfield , CO,"32,254     ","30,749     ","1,505     ",4.7     
CN0804700000000,Gilpin , CO,"3,880     ","3,641     ",239     ,6.2     
CN0804900000000,Grand , CO,"9,718     ","9,309     ",409     ,4.2     
CN0805100000000,Gunnison , CO,"11,837     ","11,402     ",435     ,3.7     
CN0805300000000,Hinsdale , CO,450     ,434     ,16     ,3.6     
CN0805500000000,Huerfano , CO,"2,645     ","2,428     ",217     ,8.2     
CN0805700000000,Jackson , CO,988     ,955     ,33     ,3.3     
CN0805900000000,Jefferson , CO,"334,051     ","317,284     ","16,767     ",5.0     
CN0806100000000,Kiowa , CO,957     ,925     ,32     ,3.3     
CN0806300000000,Kit Carson , CO,"4,261     ","4,135     ",126     ,3.0     
CN0806500000000,Lake , CO,"4,974     ","4,756     ",218     ,4.4     
CN0806700000000,La Plata , CO,"31,905     ","30,248     ","1,657     ",5.2     
CN0806900000000,Larimer , CO,"206,492     ","196,875     ","9,617     ",4.7     
CN0807100000000,Las Animas , CO,"6,513     ","6,087     ",426     ,6.5     
CN0807300000000,Lincoln , CO,"2,364     ","2,265     ",99     ,4.2     
CN0807500000000,Logan , CO,"10,985     ","10,505     ",480     ,4.4     
CN0807700000000,Mesa , CO,"77,219     ","72,798     ","4,421     ",5.7     
CN0807900000000,Mineral , CO,463     ,440     ,23     ,5.0     
CN0808100000000,Moffat , CO,"7,286     ","6,939     ",347     ,4.8     
CN0808300000000,Montezuma , CO,"13,215     ","12,480     ",735     ,5.6     
CN0808500000000,Montrose , CO,"22,392     ","21,270     ","1,122     ",5.0     
CN0808700000000,Morgan , CO,"16,212     ","15,419     ",793     ,4.9     
CN0808900000000,Otero , CO,"8,366     ","7,854     ",512     ,6.1     
CN0809100000000,Ouray , CO,"2,708     ","2,586     ",122     ,4.5     
CN0809300000000,Park , CO,"11,273     ","10,810     ",463     ,4.1     
CN0809500000000,Phillips , CO,"2,490     ","2,419     ",71     ,2.9     
CN0809700000000,Pitkin , CO,"11,127     ","10,514     ",613     ,5.5     
CN0809900000000,Prowers , CO,"6,265     ","5,981     ",284     ,4.5     
CN0810100000000,Pueblo , CO,"77,498     ","71,347     ","6,151     ",7.9     
CN0810300000000,Rio Blanco , CO,"2,931     ","2,769     ",162     ,5.5     
CN0810500000000,Rio Grande , CO,"5,529     ","5,169     ",360     ,6.5     
CN0810700000000,Routt , CO,"16,024     ","15,343     ",681     ,4.2     
CN0810900000000,Saguache , CO,"3,496     ","3,290     ",206     ,5.9     
CN0811100000000,San Juan , CO,608     ,587     ,21     ,3.5     
CN0811300000000,San Miguel , CO,"5,836     ","5,542     ",294     ,5.0     
CN0811500000000,Sedgwick , CO,"1,185     ","1,141     ",44     ,3.7     
CN0811700000000,Summit , CO,"22,727     ","21,818     ",909     ,4.0     
CN0811900000000,Teller , CO,"13,074     ","12,429     ",645     ,4.9     
CN0812100000000,Washington , CO,"2,828     ","2,738     ",90     ,3.2     
CN0812300000000,Weld , CO,"165,660     ","156,182     ","9,478     ",5.7     
CN0812500000000,Yuma , CO,"5,668     ","5,513     ",155     ,2.7     
CN0900100000000,Fairfield , CT,"465,448     ","437,051     ","28,397     ",6.1     
CN0900300000000,Hartford , CT,"468,861     ","438,180     ","30,681     ",6.5     
CN0900500000000,Litchfield , CT,"101,537     ","95,963     ","5,574     ",5.5     
CN0900700000000,Middlesex , CT,"91,071     ","86,362     ","4,709     ",5.2     
CN0900900000000,New Haven , CT,"453,791     ","424,057     ","29,734     ",6.6     
CN0901100000000,New London , CT,"129,504     ","120,631     ","8,873     ",6.9     
CN0901300000000,Tolland , CT,"83,876     ","79,597     ","4,279     ",5.1     
CN0901500000000,Windham , CT,"61,835     ","57,975     ","3,860     ",6.2     
CN1000100000000,Kent , DE,"81,389     ","76,320     ","5,069     ",6.2     
CN1000300000000,New Castle , DE,"303,427     ","287,298     ","16,129     ",5.3     
CN1000500000000,Sussex , DE,"111,615     ","106,257     ","5,358     ",4.8     
CN1100100000000,District of Columbia,,"381,673     ","356,578     ","25,095     ",6.6     
CN1200100000000,Alachua , FL,"138,458     ","133,316     ","5,142     ",3.7     
CN1200300000000,Baker , FL,"12,089     ","11,640     ",449     ,3.7     
CN1200500000000,Bay , FL,"85,937     ","82,604     ","3,333     ",3.9     
CN1200700000000,Bradford , FL,"10,791     ","10,343     ",448     ,4.2     
CN1200900000000,Brevard , FL,"289,653     ","277,951     ","11,702     ",4.0     
CN1201100000000,Broward , FL,"1,029,454     ","979,064     ","50,390     ",4.9     
CN1201300000000,Calhoun , FL,"4,866     ","4,648     ",218     ,4.5     
CN1201500000000,Charlotte , FL,"73,248     ","70,060     ","3,188     ",4.4     
CN1201700000000,Citrus , FL,"47,343     ","44,656     ","2,687     ",5.7     
CN1201900000000,Clay , FL,"107,819     ","104,015     ","3,804     ",3.5     
CN1202100000000,Collier , FL,"180,891     ","174,274     ","6,617     ",3.7     
CN1202300000000,Columbia , FL,"29,220     ","27,896     ","1,324     ",4.5     
CN1202700000000,DeSoto , FL,"14,631     ","14,070     ",561     ,3.8     
CN1202900000000,Dixie , FL,"5,910     ","5,653     ",257     ,4.3     
CN1203100000000,Duval , FL,"492,463     ","470,506     ","21,957     ",4.5     
CN1203300000000,Escambia , FL,"146,033     ","139,420     ","6,613     ",4.5     
CN1203500000000,Flagler , FL,"48,309     ","46,067     ","2,242     ",4.6     
CN1203700000000,Franklin , FL,"4,719     ","4,540     ",179     ,3.8     
CN1203900000000,Gadsden , FL,"19,283     ","18,250     ","1,033     ",5.4     
CN1204100000000,Gilchrist , FL,"7,226     ","6,956     ",270     ,3.7     
CN1204300000000,Glades , FL,"5,073     ","4,862     ",211     ,4.2     
CN1204500000000,Gulf , FL,"5,270     ","5,080     ",190     ,3.6     
CN1204700000000,Hamilton , FL,"4,137     ","3,887     ",250     ,6.0     
CN1204900000000,Hardee , FL,"8,895     ","8,471     ",424     ,4.8     
CN1205100000000,Hendry , FL,"15,734     ","14,782     ",952     ,6.1     
CN1205300000000,Hernando , FL,"73,476     ","69,734     ","3,742     ",5.1     
CN1205500000000,Highlands , FL,"34,977     ","32,919     ","2,058     ",5.9     
CN1205700000000,Hillsborough , FL,"769,097     ","736,399     ","32,698     ",4.3     
CN1205900000000,Holmes , FL,"6,935     ","6,652     ",283     ,4.1     
CN1206100000000,Indian River , FL,"65,119     ","62,043     ","3,076     ",4.7     
CN1206300000000,Jackson , FL,"17,202     ","16,413     ",789     ,4.6     
CN1206500000000,Jefferson , FL,"5,580     ","5,345     ",235     ,4.2     
CN1206700000000,Lafayette , FL,"2,787     ","2,676     ",111     ,4.0     
